symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate,volume_spike_flag
AGLDUSDT,2025-01-12 15:40:00+09:00,2.1886,2.1905,2.1858,2.1894,49984.0,7874555.9,-7.9e-05,1.469,-49.291,-1.66,False
AI16ZUSDT,2025-01-12 15:40:00+09:00,1.1894,1.191,1.1871,1.1884,43192.0,42492037.0,5e-05,0.389,-86.836,-0.025,False
AIOZUSDT,2025-01-12 15:40:00+09:00,0.9253,0.9261,0.9253,0.9261,963.0,5639222.0,0.0001,-0.387,-94.032,-0.086,False
AIUSDT,2025-01-12 15:40:00+09:00,0.6874,0.6879,0.6874,0.6879,221.8,8230441.1,0.0001,-0.908,-99.486,0.327,False
AIXBTUSDT,2025-01-12 15:40:00+09:00,0.4892,0.4893,0.4877,0.4881,67550.0,37121240.0,0.0001,-1.374,-92.686,-1.472,False
AKTUSDT,2025-01-12 15:40:00+09:00,3.048,3.048,3.048,3.048,13.4,1448997.9,0.0001,-0.555,-96.453,0.051,False
ALCHUSDT,2025-01-12 15:40:00+09:00,0.11901,0.11925,0.11897,0.11925,20975.0,35707658.0,0.0001,-0.401,-94.164,-0.816,False
ALEOUSDT,2025-01-12 15:40:00+09:00,0.6372,0.6377,0.6365,0.6377,2381.0,5120272.0,0.0001,1.303,-48.273,-1.049,False
ALGOUSDT,2025-01-12 15:40:00+09:00,0.3701,0.3701,0.3699,0.37,13042.9,79976838.5,0.0001,-0.511,-86.744,-1.33,False
ALICEUSDT,2025-01-12 15:40:00+09:00,1.096,1.096,1.094,1.095,3297.3,2768543.79999999,0.0001,-0.635,220.033,-0.33,False
ALPACAUSDT,2025-01-12 15:40:00+09:00,0.15655,0.15655,0.15648,0.15648,46.0,4776826.0,0.0001,-0.407,-92.89,-0.06,False
ALPHAUSDT,2025-01-12 15:40:00+09:00,0.07379,0.07379,0.07376,0.07379,675.0,23054470.0,5e-05,-0.189,-92.961,-0.13,False
ALTUSDT,2025-01-12 15:40:00+09:00,0.10196,0.10196,0.10192,0.10196,603.0,51485658.0,0.0001,-0.303,-97.79,-0.106,False
AMBUSDT,2025-01-12 15:40:00+09:00,0.006802,0.006804,0.006802,0.006804,1530.0,125289410.0,0.0001,-0.526,-90.648,-0.452,False
ANKRUSDT,2025-01-12 15:40:00+09:00,0.03809,0.0381,0.03807,0.0381,23115.0,150406598.0,0.0001,-0.626,-94.787,-0.412,False
