symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate
GEMSUSDT,2025-01-10 00:00:00+09:00,0.09203,0.09223,0.08959,0.09026,309888.0,3550354.0,0.0001,-1.527,-14.853,3.112
GIGAUSDT,2025-01-10 00:00:00+09:00,0.06849,0.07052,0.06849,0.07004,4333580.0,40397320.0,0.0001,-1.767,86.486,10.997
GLMRUSDT,2025-01-10 00:00:00+09:00,0.2213,0.22455,0.2204,0.2244,103224.0,7787275.9,0.0001,-0.73,21.624,-0.842
GLMUSDT,2025-01-10 00:00:00+09:00,0.39561,0.40311,0.39405,0.40182,500001.0,7113986.0,0.000497,-0.868,38.446,-1.104
GMEUSDT,2025-01-10 00:00:00+09:00,0.003455,0.003542,0.003447,0.003532,8100410.0,324890010.0,0.0001,1.32,68.533,0.18
GMTUSDT,2025-01-10 00:00:00+09:00,0.141,0.1427,0.1404,0.1425,3953827.0,156546049.0,0.0001,-1.656,111.477,-0.903
GMXUSDT,2025-01-10 00:00:00+09:00,23.795,24.12,23.74,24.115,3164.83,193799.17,7.5e-05,-0.904,116.12,1.062
GNOUSDT,2025-01-10 00:00:00+09:00,248.71,251.2,248.33,250.97,38.567,1335.671,0.0001,-0.9,-30.728,-1.945
GOATUSDT,2025-01-10 00:00:00+09:00,0.3565,0.3648,0.3547,0.3637,3974455.0,114614055.0,0.0001,-1.516,82.709,-0.481
GODSUSDT,2025-01-10 00:00:00+09:00,0.1792,0.1807,0.1785,0.1807,46037.0,3772307.0,0.0001,-1.149,138.204,-0.682
GOMININGUSDT,2025-01-10 00:00:00+09:00,0.48989,0.49315,0.48989,0.49127,275852.0,736759.0,0.0001,-0.128,114.375,-6.566
GRASSUSDT,2025-01-10 00:00:00+09:00,2.4266,2.4355,2.4094,2.4326,133257.0,13935066.0,-0.002073,-1.43,36.409,-0.636
GRIFFAINUSDT,2025-01-10 00:00:00+09:00,0.35797,0.36158,0.35449,0.36085,1332878.0,18810081.0,0.0001,0.42,75.046,-2.111
GRTUSDT,2025-01-10 00:00:00+09:00,0.20198,0.20503,0.20072,0.20483,1098396.7,58246154.2,6e-06,-0.616,31.254,-0.803
GTCUSDT,2025-01-10 00:00:00+09:00,0.685,0.697,0.682,0.697,79812.1,2043998.0,0.0001,0.144,46.78,7.937
GUSDT,2025-01-10 00:00:00+09:00,0.03124,0.03175,0.03108,0.03175,3845380.0,73425320.0,-1.2e-05,-1.733,-7.127,-5.12
HBARUSDT,2025-01-10 00:00:00+09:00,0.26709,0.27062,0.26558,0.27062,4702411.0,220076039.0,1.9e-05,-0.037,10.996,-1.848
HFTUSDT,2025-01-10 00:00:00+09:00,0.181,0.184,0.1806,0.1839,147742.0,11798197.0,0.0001,-0.325,-67.548,0.102
HIFIUSDT,2025-01-10 00:00:00+09:00,0.6365,0.6483,0.6309,0.6471,366899.0,4332525.0,0.0001,0.217,-12.216,-5.273
HIGHUSDT,2025-01-10 00:00:00+09:00,1.3422,1.36,1.3335,1.36,18256.4,1497958.4,0.0001,-0.41,68.875,-1.445
HIPPOUSDT,2025-01-10 00:00:00+09:00,0.00792,0.0081,0.00789,0.0081,69499990.0,967306430.0,0.0001,-0.246,-42.746,-0.859
HIVEUSDT,2025-01-10 00:00:00+09:00,0.4974,0.5093,0.497,0.5083,3485944.0,21188044.0,0.0001,-0.177,-14.579,1.74
HMSTRUSDT,2025-01-10 00:00:00+09:00,0.002861,0.002907,0.002838,0.002907,89075960.0,2342393590.0,0.0001,0.276,-3.735,-2.695
HNTUSDT,2025-01-10 00:00:00+09:00,5.667,5.727,5.642,5.727,5377.1,943916.65,0.0001,-1.547,119.173,-2.001
HOOKUSDT,2025-01-10 00:00:00+09:00,0.3643,0.3704,0.3627,0.3702,84597.8,7997260.8,0.0001,-0.671,20.859,-0.308
HOTUSDT,2025-01-10 00:00:00+09:00,0.00212,0.002153,0.002109,0.002153,6108000.0,903344900.0,0.0001,0.14,49.617,0.498
HPOS10IUSDT,2025-01-10 00:00:00+09:00,0.1745,0.1781,0.1736,0.1779,81195.0,11840008.0,0.0001,-2.037,174.335,-2.361
HYPEUSDT,2025-01-10 00:00:00+09:00,19.56,20.239,19.507,20.239,340992.62,4842443.51999999,0.0001,-1.384,107.048,4.289
ICPUSDT,2025-01-10 00:00:00+09:00,10.18,10.286,10.104,10.286,41653.2,3192383.8,-1.1e-05,-1.352,106.44,-3.029
ICXUSDT,2025-01-10 00:00:00+09:00,0.1996,0.2023,0.1988,0.2021,398553.0,12942982.0,0.0001,-0.883,23.495,-0.205
IDEXUSDT,2025-01-10 00:00:00+09:00,0.05729,0.05792,0.05683,0.05792,632670.0,12329840.0,0.0001,-1.513,42.553,-2.635
IDUSDT,2025-01-10 00:00:00+09:00,0.4322,0.437,0.4294,0.437,257099.0,7936880.0,0.0001,-1.019,36.572,0.798
ILVUSDT,2025-01-10 00:00:00+09:00,36.55,36.96,36.36,36.96,598.31,114823.18,0.0001,-0.885,-36.741,-1.073
IMXUSDT,2025-01-10 00:00:00+09:00,1.2324,1.2496,1.226,1.2494,77347.3,9194794.5,0.0001,-0.104,50.48,-0.156
INJUSDT,2025-01-10 00:00:00+09:00,21.203,21.623,21.084,21.618,43550.7,2290301.1,0.0001,0.009,7.936,2.706
IOSTUSDT,2025-01-10 00:00:00+09:00,0.007759,0.008033,0.007659,0.008,339814799.0,862756355.0,0.0001,4.493,18.99,19.918
IOTAUSDT,2025-01-10 00:00:00+09:00,0.3012,0.3064,0.2994,0.3063,780577.1,29468698.3,0.0001,-0.423,37.741,1.032
IOTXUSDT,2025-01-10 00:00:00+09:00,0.03684,0.03733,0.03667,0.03733,488503.0,97079674.0,0.0001,-0.665,-64.59,-0.968
IOUSDT,2025-01-10 00:00:00+09:00,2.945,2.988,2.923,2.988,81270.7,3721321.9,-1.7e-05,-1.678,61.436,2.594
JASMYUSDT,2025-01-10 00:00:00+09:00,0.031202,0.031806,0.031002,0.031788,17313674.0,446008259.0,5e-05,-0.251,41.049,-0.691
JOEUSDT,2025-01-10 00:00:00+09:00,0.3465,0.3517,0.3454,0.3514,60241.0,4394879.0,0.0001,0.028,73.23,0.3
JSTUSDT,2025-01-10 00:00:00+09:00,0.04059,0.04112,0.04047,0.04108,1855430.0,41851880.0,0.0001,-0.34,81.584,-3.519
JTOUSDT,2025-01-10 00:00:00+09:00,2.878,2.887,2.852,2.881,49938.4,3770076.5,0.0001,-0.997,71.177,-7.745
