symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate
VETUSDT,2025-01-10 00:00:00+09:00,0.04434,0.04517,0.04409,0.04514,4505417.0,352554458.0,0.0001,3.272,30.889,-0.898
VIDTUSDT,2025-01-10 00:00:00+09:00,0.02761,0.02798,0.02748,0.02798,1704390.0,31078590.0,0.0001,2.453,174.67,-1.336
VIRTUALUSDT,2025-01-10 00:00:00+09:00,3.174,3.2469,3.1484,3.2423,1516408.0,25774184.0,-0.000414,4.53,61.695,2.725
VOXELUSDT,2025-01-10 00:00:00+09:00,0.1633,0.1655,0.1626,0.1654,45997.0,2874445.0,0.0001,2.288,328.857,0.478
VRAUSDT,2025-01-10 00:00:00+09:00,0.003999,0.004108,0.003985,0.004104,26663500.0,857242300.0,0.0001,4.401,153.59,-0.358
VTHOUSDT,2025-01-10 00:00:00+09:00,0.002446,0.002475,0.002439,0.002471,4290500.0,198019500.0,0.0001,1.395,33.508,-2.198
WAVESUSDT,2025-01-10 00:00:00+09:00,1.8025,1.8115,1.776,1.8095,353608.2,4179111.4,0.0001,1.657,10.978,-3.422
WAXPUSDT,2025-01-10 00:00:00+09:00,0.04625,0.04727,0.0461,0.04724,2216500.0,34683290.0,0.0001,2.964,-35.799,-6.291
WIFUSDT,2025-01-10 00:00:00+09:00,1.5471,1.5859,1.5366,1.5845,6086745.0,72734945.0,0.0001,3.834,269.511,0.881
WLDUSDT,2025-01-10 00:00:00+09:00,2.137,2.166,2.12,2.159,953136.8,28141016.8,4.2e-05,3.104,158.422,-1.802
WOOUSDT,2025-01-10 00:00:00+09:00,0.1997,0.2025,0.1985,0.2024,190844.8,20718072.8,0.0001,3.107,316.321,-0.958
WUSDT,2025-01-10 00:00:00+09:00,0.2541,0.2569,0.2523,0.2564,888151.9,52787610.7,0.0001,2.151,76.608,-0.422
XAIUSDT,2025-01-10 00:00:00+09:00,0.2061,0.2087,0.2047,0.2087,477489.0,34023187.0,-3.3e-05,2.909,145.83,-0.062
