symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate,volume_spike_flag,small_price_move_flag
AUDIOUSDT,2025-01-09 21:00:00+09:00,0.1448,0.1459,0.1402,0.1454,1834853.1,19357211.89999999,0.0001,-0.819,-5.309,0.836,False,True
AVAAIUSDT,2025-01-09 21:00:00+09:00,0.18896,0.20449,0.15967,0.20241,66367546.0,11415948.0,0.0001,1.929,-42.578,-6.019,False,False
AVAILUSDT,2025-01-09 21:00:00+09:00,0.11267,0.11399,0.11066,0.11392,3489798.0,14021018.0,0.0001,-0.454,137.7,-5.832,False,True
AVAUSDT,2025-01-09 21:00:00+09:00,1.1353,1.1395,1.0745,1.1307,571058.7,1631922.6,0.0001,-1.335,-47.602,-0.527,False,False
AVAXUSDT,2025-01-09 21:00:00+09:00,36.685,37.18,35.525,37.14,836823.8,3319870.7,-0.000116,0.256,-27.314,1.496,False,True
AXLUSDT,2025-01-09 21:00:00+09:00,0.6225,0.6244,0.5911,0.6194,959574.0,6306218.0,0.0001,-2.809,-33.252,-0.953,False,False
AXSUSDT,2025-01-09 21:00:00+09:00,6.284,6.322,6.021,6.237,600042.8,2668194.1,-0.000405,-0.574,-77.681,-4.029,False,True
BADGERUSDT,2025-01-09 21:00:00+09:00,3.847,3.879,3.685,3.854,341284.0,892709.3,0.0001,-1.633,119.065,3.212,True,False
BAKEUSDT,2025-01-09 21:00:00+09:00,0.2322,0.2337,0.222,0.2334,1325451.8,13742327.4,0.0001,-0.723,-29.624,1.634,False,True
BALUSDT,2025-01-09 21:00:00+09:00,2.481,2.489,2.371,2.479,42976.16,460635.48,0.0001,-1.274,-20.223,0.519,False,False
BANANAUSDT,2025-01-09 21:00:00+09:00,43.117,43.613,40.63,41.206,39465.75,50300.62,0.0001,-5.363,-15.004,-5.415,False,False
BANDUSDT,2025-01-09 21:00:00+09:00,1.362,1.367,1.303,1.359,186858.1,1379325.3,0.0001,-1.522,-24.156,1.456,False,False
BANUSDT,2025-01-09 21:00:00+09:00,0.053,0.0532,0.0495,0.0531,121335753.0,183410594.0,0.0001,-7.168,24.42,13.728,False,False
BATUSDT,2025-01-09 21:00:00+09:00,0.254,0.2557,0.2425,0.2531,7936571.5,16170724.6,6.4e-05,1.2,-54.299,6.644,False,False
BBUSDT,2025-01-09 21:00:00+09:00,0.359,0.361,0.3403,0.36,3475742.0,5989123.0,0.0001,-1.126,-38.303,0.515,False,False
BCHUSDT,2025-01-09 21:00:00+09:00,427.0,429.5,412.2,429.0,28963.43,115342.12,-9.2e-05,-0.901,-13.094,2.575,False,True
BEAMUSDT,2025-01-09 21:00:00+09:00,0.023329,0.023609,0.022416,0.023495,105340600.0,553456700.0,0.0001,-1.024,-29.736,-1.048,False,False
BELUSDT,2025-01-09 21:00:00+09:00,0.5329,0.5342,0.509,0.5312,325367.0,2351469.0,0.0001,-0.58,-14.948,-1.952,False,True
BENDOGUSDT,2025-01-09 21:00:00+09:00,0.008926,0.008926,0.008485,0.008798,14489600.0,308186350.0,0.0001,-3.372,-52.545,-0.418,False,False
BICOUSDT,2025-01-09 21:00:00+09:00,0.2776,0.2793,0.2655,0.2787,915515.2,6415977.6,0.0001,-1.1,-37.026,-1.186,False,False
BIGTIMEUSDT,2025-01-09 21:00:00+09:00,0.12534,0.12642,0.12099,0.12622,13460970.0,58701573.0,0.0001,0.318,-33.1,3.661,False,True
BILLYUSDT,2025-01-09 21:00:00+09:00,0.01451,0.0148,0.01365,0.01474,17474540.0,79986030.0,0.0001,-5.27,-5.86,8.012,False,False
BIOUSDT,2025-01-09 21:00:00+09:00,0.5505,0.5554,0.5101,0.5337,13791240.0,21153698.0,0.0001,-4.883,-21.279,-1.774,False,False
BLASTUSDT,2025-01-09 21:00:00+09:00,0.00878,0.008971,0.00837,0.008693,453494140.0,430215660.0,0.0001,0.393,33.353,-5.979,False,True
BLUEUSDT,2025-01-09 21:00:00+09:00,0.3776,0.38838,0.36046,0.38718,2487869.0,2955595.0,0.0001,-0.008,34.87,-6.142,False,True
BLURUSDT,2025-01-09 21:00:00+09:00,0.2345,0.236,0.2253,0.2349,14050345.0,52633212.0,0.0001,0.0,-32.399,-0.433,False,True
