symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate
FTNUSDT,2025-01-09 09:00:00+09:00,3.6625,3.697,3.6271,3.6599,74122.1,163153.4,0.0001,1.094,-7.776,-7.605
FUELUSDT,2025-01-09 09:00:00+09:00,0.05479,0.05719,0.04855,0.05028,135756030.0,93312380.0,5e-05,-27.088,2.005,8.852
FUSDT,2025-01-09 09:00:00+09:00,0.04948,0.05014,0.04449,0.04566,21507311.0,31651672.0,0.0001,-16.236,39.902,-12.763
FWOGUSDT,2025-01-09 09:00:00+09:00,0.19459,0.20535,0.15828,0.17517,73143237.0,44283517.0,0.0001,-33.345,61.151,49.32
FXSUSDT,2025-01-09 09:00:00+09:00,3.259,3.338,3.121,3.2,905695.47,1050523.58,6.8e-05,-19.97,-25.375,-10.128
GALAUSDT,2025-01-09 09:00:00+09:00,0.03467,0.0354,0.03311,0.03438,1731850647.0,971369501.0,2.7e-05,-19.635,39.36,-8.961
GASUSDT,2025-01-09 09:00:00+09:00,5.357,6.55,5.282,5.763,45050621.2,1818294.4,0.0001,7.659,4226.067,349.718
GEMSUSDT,2025-01-09 09:00:00+09:00,0.09955,0.09979,0.08959,0.09026,4910933.0,3460396.0,0.0001,-16.519,1.971,12.63
GIGAUSDT,2025-01-09 09:00:00+09:00,0.07893,0.08018,0.06725,0.07002,73801840.0,34000690.0,0.0001,-22.381,-47.501,-35.875
GLMRUSDT,2025-01-09 09:00:00+09:00,0.22945,0.23425,0.2175,0.2244,2934243.0,7797811.0,0.0001,-16.827,9.274,-9.336
GLMUSDT,2025-01-09 09:00:00+09:00,0.38861,0.41429,0.38312,0.40115,19924604.0,6650113.0,0.000497,-6.627,-23.301,-30.15
GMEUSDT,2025-01-09 09:00:00+09:00,0.003574,0.003698,0.003373,0.003532,271177550.0,322188930.0,0.0001,-18.561,-8.045,-8.908
GMTUSDT,2025-01-09 09:00:00+09:00,0.1431,0.1464,0.138,0.1425,158316286.0,155492524.0,0.0001,-14.517,-18.031,-13.904
GMXUSDT,2025-01-09 09:00:00+09:00,24.495,25.12,23.365,24.105,62210.66,195878.51,7.5e-05,-16.447,54.586,4.05
GNOUSDT,2025-01-09 09:00:00+09:00,253.89,259.57,246.22,250.97,1035.121,1427.444,0.0001,-11.571,90.322,19.765
GOATUSDT,2025-01-09 09:00:00+09:00,0.3868,0.3937,0.3442,0.3639,114577684.0,115800842.0,0.0001,-29.078,-13.012,-3.096
GODSUSDT,2025-01-09 09:00:00+09:00,0.1869,0.1885,0.1775,0.1807,1786734.0,3718977.0,0.0001,-15.045,16.072,1.089
GOMININGUSDT,2025-01-09 09:00:00+09:00,0.49922,0.5014,0.48336,0.49135,3832240.0,783975.0,0.0001,-0.466,-10.893,45.914
GRASSUSDT,2025-01-09 09:00:00+09:00,2.6302,2.7126,2.3749,2.4307,5425841.0,14205233.0,-0.002073,-19.238,-24.909,-4.108
GRIFFAINUSDT,2025-01-09 09:00:00+09:00,0.41302,0.42787,0.34218,0.36086,51016741.0,21693209.0,0.0001,-25.286,-0.398,11.307
GRTUSDT,2025-01-09 09:00:00+09:00,0.21138,0.21334,0.19834,0.20495,28984461.8,59795516.4,6e-06,-17.326,20.553,-0.976
GTCUSDT,2025-01-09 09:00:00+09:00,0.706,0.715,0.671,0.698,1272223.7,1847410.7,0.0001,-16.005,32.332,-17.251
GUSDT,2025-01-09 09:00:00+09:00,0.03321,0.03352,0.03096,0.03173,236939680.0,92802890.0,-1.2e-05,-1.734,2248.354,142.781
HBARUSDT,2025-01-09 09:00:00+09:00,0.28478,0.28505,0.26236,0.27024,214462729.0,239086207.0,1.9e-05,-12.314,17.213,-6.548
HFTUSDT,2025-01-09 09:00:00+09:00,0.1851,0.1906,0.1785,0.1839,5119106.0,11673552.0,0.0001,-18.736,67.681,3.35
HIFIUSDT,2025-01-09 09:00:00+09:00,0.6156,0.67,0.5903,0.6454,28636012.0,2914692.0,0.0001,3.479,434.35,-8.678
HIGHUSDT,2025-01-09 09:00:00+09:00,1.3669,1.3931,1.3159,1.3596,625206.7,1508109.0,0.0001,-14.812,14.538,-13.544
HIPPOUSDT,2025-01-09 09:00:00+09:00,0.00841,0.0086,0.0077,0.0081,2308756650.0,978095250.0,0.0001,-21.815,63.297,-4.114
HIVEUSDT,2025-01-09 09:00:00+09:00,0.5667,0.5842,0.4914,0.5074,121928061.0,22230489.0,0.0001,-21.492,8.495,-47.412
HMSTRUSDT,2025-01-09 09:00:00+09:00,0.002783,0.002928,0.002769,0.002904,2603844040.0,2373286280.0,0.0001,-15.038,29.639,-12.538
HNTUSDT,2025-01-09 09:00:00+09:00,5.915,5.955,5.594,5.727,219819.44,973732.26,0.0001,-11.264,-43.92,1.924
HOOKUSDT,2025-01-09 09:00:00+09:00,0.3779,0.3843,0.3573,0.3706,2601811.7,8181947.8,0.0001,-19.853,5.629,1.15
HOTUSDT,2025-01-09 09:00:00+09:00,0.002202,0.002243,0.002073,0.002155,233159300.0,901149200.0,0.0001,-18.092,10.032,-3.65
HPOS10IUSDT,2025-01-09 09:00:00+09:00,0.1874,0.1913,0.1709,0.178,2973229.0,12099055.0,0.0001,-19.639,-4.782,-23.938
HYPEUSDT,2025-01-09 09:00:00+09:00,22.592,24.032,19.087,20.331,9481138.18,4771448.94,0.0001,-19.484,51.074,13.431
ICPUSDT,2025-01-09 09:00:00+09:00,10.849,10.993,10.04,10.283,1484374.6,3328608.0,-1.1e-05,-15.644,-15.24,1.262
ICXUSDT,2025-01-09 09:00:00+09:00,0.1914,0.2065,0.1899,0.202,19142806.0,11999650.0,0.0001,-6.221,49.765,-3.743
IDEXUSDT,2025-01-09 09:00:00+09:00,0.0605,0.06204,0.05622,0.05792,17475340.0,12354250.0,0.0001,-14.849,-25.358,-25.545
IDUSDT,2025-01-09 09:00:00+09:00,0.4376,0.4469,0.425,0.4366,6244411.0,7512897.0,0.0001,-10.569,11.938,-5.442
ILVUSDT,2025-01-09 09:00:00+09:00,37.5,37.93,35.84,37.01,25724.11,116051.8,0.0001,-12.774,31.497,-9.034
IMXUSDT,2025-01-09 09:00:00+09:00,1.2684,1.2832,1.2063,1.2491,3165455.7,9228281.5,0.0001,-15.618,36.624,-7.71
INJUSDT,2025-01-09 09:00:00+09:00,21.83,22.074,20.76,21.577,1618604.9,2252285.29999999,0.0001,-16.816,87.616,-8.395
IOSTUSDT,2025-01-09 09:00:00+09:00,0.006913,0.008033,0.006913,0.008005,5372936252.0,280369456.0,0.0001,3.491,818.503,-2.07
IOTAUSDT,2025-01-09 09:00:00+09:00,0.3202,0.3298,0.2964,0.3058,34428090.2,28117557.0,0.0001,-19.42,-31.983,-13.589
IOTXUSDT,2025-01-09 09:00:00+09:00,0.03856,0.03988,0.03613,0.03734,43864841.0,94042252.0,0.0001,-10.52,-24.381,-11.301
IOUSDT,2025-01-09 09:00:00+09:00,3.132,3.172,2.904,2.985,2497926.6,3595076.1,-1.7e-05,-21.115,0.384,-0.951
JASMYUSDT,2025-01-09 09:00:00+09:00,0.03289,0.033485,0.03054,0.031783,481399009.0,461938492.0,5e-05,-19.805,12.822,-2.505
JOEUSDT,2025-01-09 09:00:00+09:00,0.3552,0.3612,0.34,0.3521,1516805.0,4457888.0,0.0001,-14.038,48.517,-22.932
JSTUSDT,2025-01-09 09:00:00+09:00,0.04039,0.04156,0.03923,0.04105,51793140.0,42434130.0,0.0001,-9.322,469.042,-11.786
JTOUSDT,2025-01-09 09:00:00+09:00,3.084,3.1,2.818,2.878,2658055.0,4235503.59999999,0.0001,-11.091,12.154,-17.515
JUPUSDT,2025-01-09 09:00:00+09:00,0.828,0.8416,0.7821,0.8075,12017293.0,37946171.0,-0.000297,-15.533,17.635,-6.963
KAIAUSDT,2025-01-09 09:00:00+09:00,0.2047,0.2121,0.1971,0.2058,35063325.0,35596748.0,0.0001,-12.314,33.792,-6.78
KASUSDT,2025-01-09 09:00:00+09:00,0.11707,0.11834,0.11158,0.11386,109719000.0,457879740.0,0.0001,-7.694,44.407,1.824
KAVAUSDT,2025-01-09 09:00:00+09:00,0.4999,0.5244,0.4906,0.5036,11074684.8,10938338.8,0.0001,-8.966,-22.188,4.132
KDAUSDT,2025-01-09 09:00:00+09:00,0.8662,0.8768,0.7986,0.8298,2143542.0,5248335.5,0.0001,-20.441,37.704,-1.775
KEYUSDT,2025-01-09 09:00:00+09:00,0.000988,0.001001,0.0008915,0.0009465,684626100.0,1052303200.0,0.0001,-10.327,-8.418,-21.325
KMNOUSDT,2025-01-09 09:00:00+09:00,0.12764,0.12869,0.11689,0.1186,19206940.0,31321310.0,0.0001,-23.74,3.438,-16.064
KNCUSDT,2025-01-09 09:00:00+09:00,0.5828,0.6337,0.5803,0.6058,9969895.9,3571450.5,0.0001,-5.196,15.163,-26.197
KOMAUSDT,2025-01-09 09:00:00+09:00,0.09636,0.09764,0.08901,0.09183,23081759.0,36764148.0,0.0001,-24.064,-37.257,14.428
KSMUSDT,2025-01-09 09:00:00+09:00,31.04,31.53,29.45,30.55,79981.79,273201.61,0.0001,-16.141,33.242,9.122
L3USDT,2025-01-09 09:00:00+09:00,0.1007,0.1104,0.09391,0.10273,102944040.0,36366870.0,0.0001,-11.759,-31.529,3.158
LAIUSDT,2025-01-09 09:00:00+09:00,0.01252,0.0127,0.01146,0.01197,42269200.0,180152550.0,0.0001,-14.622,-3.504,-6.171
LDOUSDT,2025-01-09 09:00:00+09:00,1.65,1.689,1.5745,1.6305,8351144.1,26165614.9,6e-06,-19.262,27.036,-9.659
LEVERUSDT,2025-01-09 09:00:00+09:00,0.001664,0.001687,0.001584,0.001632,522801300.0,1073099600.0,0.0001,-15.659,518.357,1.972
LINAUSDT,2025-01-09 09:00:00+09:00,0.004518,0.004607,0.004346,0.004498,198564260.0,508019960.0,0.0001,-19.362,22.873,-11.95
LINKUSDT,2025-01-09 09:00:00+09:00,20.429,20.714,19.288,19.761,4883189.3,8120524.4,2.7e-05,-17.058,45.687,-0.173
LISTAUSDT,2025-01-09 09:00:00+09:00,0.3712,0.3768,0.3484,0.3609,1795030.0,3258811.0,0.0001,-18.478,16.025,-13.216
LITUSDT,2025-01-09 09:00:00+09:00,0.8155,0.825,0.7716,0.7992,618746.0,1371278.3,0.0001,-15.953,-9.412,-17.719
LOOKSUSDT,2025-01-09 09:00:00+09:00,0.0499,0.05135,0.04752,0.04935,23569709.7,82639650.9,0.0001,-20.608,94.479,-14.932
LPTUSDT,2025-01-09 09:00:00+09:00,13.481,13.81,12.907,13.366,256915.5,596233.6,-0.000148,-20.179,-13.213,0.445
LQTYUSDT,2025-01-09 09:00:00+09:00,1.5947,1.6187,1.4956,1.5417,734672.6,1088955.1,0.0001,-21.41,-28.0,-23.046
LRCUSDT,2025-01-09 09:00:00+09:00,0.1872,0.1902,0.1783,0.1845,3709924.2,14683083.7,6.5e-05,-15.094,4.386,-4.168
LSKUSDT,2025-01-09 09:00:00+09:00,0.986,1.1241,0.9758,1.0843,17432640.2,1151126.7,0.0001,3.523,568.996,-1.528
LTCUSDT,2025-01-09 09:00:00+09:00,101.38,104.2,99.81,103.39,550499.0,955589.4,0.0001,-9.283,37.508,-8.311
LTOUSDT,2025-01-09 09:00:00+09:00,0.1317,0.1372,0.1294,0.133,1060771.0,2178125.0,0.0001,-15.609,14.398,2.954
LUCEUSDT,2025-01-09 09:00:00+09:00,0.0299,0.0307,0.0258,0.0273,173177482.0,86417324.0,0.0001,-33.415,52.06,-12.032
LUMIAUSDT,2025-01-09 09:00:00+09:00,1.191,1.199,1.141,1.158,1867498.4,1437572.9,0.0001,-20.083,5.681,-11.485
LUNA2USDT,2025-01-09 09:00:00+09:00,0.4254,0.4329,0.4033,0.4162,7337952.4,9082617.3,0.0001,-16.392,9.491,-13.449
MAGICUSDT,2025-01-09 09:00:00+09:00,0.5089,0.5149,0.4626,0.4741,6624209.0,7377573.0,0.0001,-21.363,-60.115,-1.677
MAJORUSDT,2025-01-09 09:00:00+09:00,0.4459,0.4534,0.4197,0.4352,4910826.1,5843364.5,0.0001,-27.78,76.565,0.371
MANAUSDT,2025-01-09 09:00:00+09:00,0.4887,0.5019,0.4774,0.4956,12743798.8,22216207.89999999,4.6e-05,-13.928,30.365,-1.223
MANEKIUSDT,2025-01-09 09:00:00+09:00,0.004121,0.004132,0.003786,0.003869,147938900.0,295756300.0,0.0001,-22.774,23.418,-17.939
MANTAUSDT,2025-01-09 09:00:00+09:00,0.798,0.8108,0.7575,0.7831,5064855.1,8812520.3,0.0001,-15.75,34.292,-7.624
MASAUSDT,2025-01-09 09:00:00+09:00,0.16271,0.17352,0.14865,0.15648,19225420.0,17051521.0,0.0001,-17.136,-32.884,8.223
MASKUSDT,2025-01-09 09:00:00+09:00,2.777,2.876,2.749,2.83,1223461.5,4930193.9,0.0001,-11.783,71.645,-0.881
MAVIAUSDT,2025-01-09 09:00:00+09:00,0.903,0.919,0.797,0.832,2215656.8,6441167.1,0.0001,-29.131,35.513,-5.254
MAVUSDT,2025-01-09 09:00:00+09:00,0.1899,0.1929,0.178,0.1833,2506202.0,8067046.0,0.0001,-20.855,53.646,-32.143
MAXUSDT,2025-01-09 09:00:00+09:00,0.17163,0.17544,0.16184,0.1667,4463541.0,4686013.0,0.0001,-17.663,30.94,-26.619
MBLUSDT,2025-01-09 09:00:00+09:00,0.00358,0.004053,0.003491,0.003889,3226291600.0,312585600.0,-0.000249,4.627,227.98,5.693
MBOXUSDT,2025-01-09 09:00:00+09:00,0.1838,0.186,0.1733,0.1781,3151803.0,6510999.0,0.0001,-17.699,-17.751,1.384
MDTUSDT,2025-01-09 09:00:00+09:00,0.05421,0.0548,0.05191,0.05318,10586500.0,20977110.0,0.0001,-14.405,57.556,4.838
MEMEFIUSDT,2025-01-09 09:00:00+09:00,0.003948,0.004117,0.003663,0.003788,1725497700.0,858584400.0,0.0001,-29.209,71.684,13.447
MEMEUSDT,2025-01-09 09:00:00+09:00,0.00955,0.00968,0.0091,0.009357,801258330.0,891089090.0,0.0001,-18.493,36.121,6.385
MERLUSDT,2025-01-09 09:00:00+09:00,0.2236,0.23,0.2187,0.2268,4909069.9,19873954.0,0.0001,-18.27,53.178,3.709
METISUSDT,2025-01-09 09:00:00+09:00,39.57,40.24,36.51,37.93,23962.91,70458.48,0.0001,-21.372,39.658,-10.163
MEUSDT,2025-01-09 09:00:00+09:00,2.8286,2.8286,2.5917,2.6824,4973776.0,3350799.0,0.0001,-20.394,-10.934,-13.524
MEWUSDT,2025-01-09 09:00:00+09:00,0.005945,0.00604,0.005562,0.005766,1158403300.0,2380085000.0,0.0001,-18.015,43.961,-13.86
MINAUSDT,2025-01-09 09:00:00+09:00,0.5762,0.5854,0.5494,0.5673,3654048.6,8709506.5,0.000586,-14.512,50.754,-0.196
MKRUSDT,2025-01-09 09:00:00+09:00,1480.3,1506.7,1448.3,1491.5,3558.473,10105.634,0.0001,-8.575,21.02,-9.38
MNTUSDT,2025-01-09 09:00:00+09:00,1.2114,1.2187,1.1263,1.1529,10853535.0,28799650.0,-3.6e-05,-14.815,45.601,-5.17
MOBILEUSDT,2025-01-09 09:00:00+09:00,0.0009221,0.0009328,0.0008673,0.000888,559804000.0,750360400.0,0.0001,-13.146,-9.307,-7.311
MOCAUSDT,2025-01-09 09:00:00+09:00,0.24796,0.24806,0.21349,0.22001,109605579.0,50799822.0,0.000694,-26.88,-52.446,-20.324
MONUSDT,2025-01-09 09:00:00+09:00,0.11418,0.11549,0.09938,0.10395,4416842.0,4195725.0,0.0001,-22.61,-61.683,-28.742
MOODENGUSDT,2025-01-09 09:00:00+09:00,0.20774,0.21644,0.18758,0.19602,85853278.0,71441090.0,0.0001,-32.572,24.021,-0.972
MORPHOUSDT,2025-01-09 09:00:00+09:00,3.3867,3.4191,2.9536,3.0222,5550445.0,2833180.0,0.0001,-8.204,-6.962,-26.621
MOTHERUSDT,2025-01-09 09:00:00+09:00,0.026535,0.027134,0.022083,0.02356,103983350.0,89314540.0,0.0001,-28.127,-14.291,3.966
MOVEUSDT,2025-01-09 09:00:00+09:00,0.9005,0.9168,0.8193,0.84,36234760.0,19439267.0,0.0001,-19.748,-18.281,-22.724
MOVRUSDT,2025-01-09 09:00:00+09:00,11.658,11.789,10.981,11.39,39455.8,269338.59999999,0.000356,-18.921,-10.481,0.224
MTLUSDT,2025-01-09 09:00:00+09:00,1.2442,1.4467,1.2182,1.343,24524006.9,1349035.8,0.0001,3.101,796.429,-8.533
MVLUSDT,2025-01-09 09:00:00+09:00,0.00466,0.005304,0.004561,0.005138,1167013400.0,78508200.0,0.0001,5.481,262.78,-29.262
MYRIAUSDT,2025-01-09 09:00:00+09:00,0.002023,0.002054,0.00179,0.001868,570861120.0,903475610.0,0.0001,-28.319,41.625,-10.999
MYROUSDT,2025-01-09 09:00:00+09:00,0.05641,0.05747,0.05214,0.05471,58530295.0,158422072.0,0.000515,-23.876,70.208,6.735
NEARUSDT,2025-01-09 09:00:00+09:00,5.148,5.216,4.831,4.991,8930136.8,12457179.8,0.0001,-16.969,59.17,-6.874
NEIROETHUSDT,2025-01-09 09:00:00+09:00,0.03908,0.03997,0.03638,0.0382,110901549.0,255418769.0,0.0001,-20.763,-54.764,-0.508
NEOUSDT,2025-01-09 09:00:00+09:00,14.558,15.281,14.329,15.016,936316.19,650731.98,2.9e-05,-9.093,77.065,-9.072
NFPUSDT,2025-01-09 09:00:00+09:00,0.2608,0.2636,0.2457,0.2548,1877103.7,6503426.7,0.0001,-21.236,-20.628,-17.722
NKNUSDT,2025-01-09 09:00:00+09:00,0.08669,0.08806,0.08219,0.08475,4870158.0,6617051.0,0.0001,-17.67,26.304,4.198
NMRUSDT,2025-01-09 09:00:00+09:00,14.873,15.501,14.387,14.888,98859.8,93899.2,0.0001,-13.296,-19.314,-20.996
NOTUSDT,2025-01-09 09:00:00+09:00,0.005852,0.005955,0.0056,0.005773,1405294670.0,4109252590.0,0.0001,-15.562,75.56,3.957
NSUSDT,2025-01-09 09:00:00+09:00,0.2722,0.2725,0.2349,0.2434,17391465.0,8537929.0,0.0001,-13.504,-29.766,-11.151
NTRNUSDT,2025-01-09 09:00:00+09:00,0.345,0.3498,0.3256,0.3349,795026.0,4783545.0,0.0001,-18.871,31.828,-6.837
NULSUSDT,2025-01-09 09:00:00+09:00,0.3647,0.3688,0.3352,0.3443,745559.0,749440.0,0.0001,-18.509,30.018,-28.523
NYANUSDT,2025-01-09 09:00:00+09:00,0.07992,0.0825,0.07786,0.07922,6783577.0,11656325.0,0.0001,-17.745,-46.809,-16.061
OGNUSDT,2025-01-09 09:00:00+09:00,0.1082,0.1101,0.103,0.1063,5380899.0,13762733.0,0.0001,-17.341,-28.995,-12.887
OGUSDT,2025-01-09 09:00:00+09:00,4.7119,4.8,4.5164,4.6387,152857.5,288831.5,-0.000168,-7.472,51.711,-4.062
OLUSDT,2025-01-09 09:00:00+09:00,0.18052,0.18163,0.15318,0.16101,49984301.0,19047196.0,0.0001,-32.685,44.693,-10.916
OMGUSDT,2025-01-09 09:00:00+09:00,0.3154,0.3199,0.2967,0.3072,1381197.7,4301845.4,0.0001,-15.813,17.346,-23.443
OMNIUSDT,2025-01-09 09:00:00+09:00,8.474,9.087,8.386,8.904,533984.93,258790.92,0.0001,-7.855,55.491,-21.837
OMUSDT,2025-01-09 09:00:00+09:00,4.0265,4.0277,3.6741,3.8656,5282733.0,3419799.0,-0.000106,-5.669,54.39,3.429
ONDOUSDT,2025-01-09 09:00:00+09:00,1.3109,1.3183,1.1917,1.2332,58827958.0,86657676.0,-2.4e-05,-18.938,45.438,3.633
ONEUSDT,2025-01-09 09:00:00+09:00,0.02478,0.02532,0.02332,0.02414,99551074.0,190490844.0,0.0001,-20.487,55.992,-4.3
ONGUSDT,2025-01-09 09:00:00+09:00,0.3629,0.3873,0.3458,0.3733,51266751.0,6571310.0,0.0001,3.896,673.176,113.683
ONTUSDT,2025-01-09 09:00:00+09:00,0.2431,0.2595,0.23875,0.2533,17945021.0,10102369.0,0.0001,-4.433,247.727,2.618
OPUSDT,2025-01-09 09:00:00+09:00,1.8024,1.8401,1.711,1.7667,11161992.0,25767005.7,5.9e-05,-16.274,29.586,5.398
ORBSUSDT,2025-01-09 09:00:00+09:00,0.02929,0.03148,0.02872,0.03105,124675430.0,102972950.0,0.0005,0.844,213.929,-5.957
ORCAUSDT,2025-01-09 09:00:00+09:00,3.659,3.714,3.353,3.481,798132.6,562813.9,0.0001,-18.99,99.57,-9.736
ORDERUSDT,2025-01-09 09:00:00+09:00,0.2539,0.2554,0.2253,0.2375,18054465.0,14709192.0,0.0001,-20.114,111.3,-1.33
ORDIUSDT,2025-01-09 09:00:00+09:00,23.547,24.13,23.064,23.763,1601019.86,1636994.69,0.0001,-19.701,41.124,3.758
