symbol,timestamp,open,high,low,close,volume,openInterest,funding_rate,price_change_rate,volume_change_rate,oi_change_rate,volume_spike_flag,small_price_move_flag
BANUSDT,2025-01-19 23:30:00,0.06441,0.06443,0.06385,0.06413,12617891.0,156722558.0,0.0001,-3.853,-22.536,-0.094,False,False
BATUSDT,2025-01-19 23:30:00,0.2466,0.2468,0.2445,0.2457,98146.3,12507980.6,0.0001,1.739,-34.895,-1.903,False,False
BBUSDT,2025-01-19 23:30:00,0.326,0.326,0.3218,0.3245,239571.0,8546342.0,0.0001,2.044,-40.381,-0.272,False,False
BCHUSDT,2025-01-19 23:30:00,461.2,461.3,456.7,458.2,930.56,114525.79,0.0001,1.282,-62.217,0.825,False,False
BEAMUSDT,2025-01-19 23:30:00,0.022728,0.022729,0.022415,0.022613,3973700.0,728870800.0,0.000207,2.012,-61.07,1.126,False,False
BELUSDT,2025-01-19 23:30:00,0.5684,0.5684,0.5622,0.5666,11288.0,2307192.0,0.0001,2.072,-36.591,-0.341,False,False
BENDOGUSDT,2025-01-19 23:30:00,0.007438,0.007444,0.0074,0.007432,1155080.0,295952990.0,0.000269,-0.309,-8.574,0.963,True,True
BICOUSDT,2025-01-19 23:30:00,0.2768,0.2768,0.2732,0.2756,48458.3,6984810.1,0.0001,3.26,-30.136,-0.332,False,False
BIGTIMEUSDT,2025-01-19 23:30:00,0.11227,0.11232,0.11112,0.11177,367667.0,54371287.0,0.000206,0.666,-59.059,-0.424,False,False
BILLYUSDT,2025-01-19 23:30:00,0.01072,0.01072,0.0104,0.01055,827340.0,90093140.0,0.0001,-0.472,-51.001,1.847,True,True
BIOUSDT,2025-01-19 23:30:00,0.2907,0.2907,0.2869,0.288,201798.0,23099015.0,0.0001,-2.9,-78.156,-0.609,False,False
BLASTUSDT,2025-01-19 23:30:00,0.008119,0.008123,0.008027,0.008062,11347440.0,512614720.0,0.0001,1.256,-0.808,1.788,False,False
BLUEUSDT,2025-01-19 23:30:00,0.32519,0.32519,0.32208,0.32308,96926.0,5283307.0,0.0001,-3.229,-84.865,-0.845,False,False
BLURUSDT,2025-01-19 23:30:00,0.2153,0.2154,0.213,0.2144,407219.0,56084436.0,0.0001,1.037,-47.383,-0.494,False,False
BNBUSDT,2025-01-19 23:30:00,700.7,700.9,696.4,698.25,1248.3,173108.31,0.000215,0.158,-9.524,-0.208,True,True
BNTUSDT,2025-01-19 23:30:00,0.69605,0.69675,0.69045,0.6967,6273.0,1404367.0,0.0001,3.123,-75.437,0.904,False,False
BNXUSDT,2025-01-19 23:30:00,0.3472,0.3472,0.3431,0.3461,39450.6,9710520.19999999,0.0001,3.159,-63.201,0.135,False,False
BOBAUSDT,2025-01-19 23:30:00,0.20217,0.2025,0.20024,0.20087,52388.6,5667002.0,0.0001,2.12,-31.373,2.822,False,False
BOMEUSDT,2025-01-19 23:30:00,0.005304,0.005307,0.005241,0.005272,30966900.0,3172390500.0,0.000265,0.88,-47.248,-0.06,False,False
BRETTUSDT,2025-01-19 23:30:00,0.1046,0.10474,0.10314,0.10359,6586770.0,378245870.0,0.000733,0.612,-55.571,0.108,False,False
BSVUSDT,2025-01-19 23:30:00,54.98,55.0,54.53,54.74,295.89,52853.26,0.0001,1.258,-65.975,0.712,False,False
BSWUSDT,2025-01-19 23:30:00,0.06429,0.06429,0.06359,0.06403,102913.0,9782612.0,0.000723,2.81,-28.717,3.243,False,False
BTCUSDT,2025-01-19 23:30:00,105434.7,105457.7,105033.2,105243.2,540.682,61591.051,0.0001,0.276,8.055,0.225,True,True
C98USDT,2025-01-19 23:30:00,0.1466,0.1466,0.1448,0.1458,324372.0,29534207.7,0.0001,1.887,-3.105,0.437,False,False
CAKEUSDT,2025-01-19 23:30:00,2.318,2.319,2.295,2.306,16509.0,5290733.59999999,0.000302,0.875,-65.406,1.137,False,False
CARVUSDT,2025-01-19 23:30:00,0.7408,0.7412,0.7344,0.7386,40040.0,10738389.0,-0.00352,0.86,-13.636,-0.037,False,False
CATIUSDT,2025-01-19 23:30:00,0.3053,0.3055,0.3014,0.3037,230761.0,16566564.0,0.000203,3.405,-30.048,-0.385,False,False
CELOUSDT,2025-01-19 23:30:00,0.6354,0.6359,0.628,0.6321,38609.6,7170783.0,0.0001,1.624,-55.558,0.638,False,False
CELRUSDT,2025-01-19 23:30:00,0.01686,0.01686,0.01665,0.01681,808580.0,138508320.0,0.0001,2.688,-33.882,-0.562,False,False
CETUSUSDT,2025-01-19 23:30:00,0.28778,0.28785,0.28449,0.28616,64975.0,12591891.0,0.000663,0.888,-57.808,-0.544,False,False
CFXUSDT,2025-01-19 23:30:00,0.16335,0.16336,0.1612,0.16218,402394.0,45094428.0,0.0001,1.521,-18.966,-0.688,False,False
CGPTUSDT,2025-01-19 23:30:00,0.30346,0.30349,0.29964,0.29968,353524.0,10339410.0,5e-05,-3.547,-80.29,4.098,False,False
CHESSUSDT,2025-01-19 23:30:00,0.1765,0.1767,0.1751,0.1765,37339.0,4553469.0,0.000351,3.216,108.028,-0.675,False,False
CHILLGUYUSDT,2025-01-19 23:30:00,0.0881,0.0881,0.087,0.0876,1177494.0,105317978.0,0.0001,-0.68,-64.385,-1.994,False,False
CHRUSDT,2025-01-19 23:30:00,0.2,0.2002,0.1982,0.1997,48312.7,11866238.0,0.0001,2.832,-67.275,2.804,False,False
CHZUSDT,2025-01-19 23:30:00,0.08186,0.08186,0.08103,0.08154,669164.0,99723742.0,0.0001,1.506,-69.554,-2.018,False,False
CKBUSDT,2025-01-19 23:30:00,0.01022,0.01022,0.010115,0.010174,7544060.0,341464580.0,0.000111,1.163,-20.463,-1.942,False,False
CLOUDUSDT,2025-01-19 23:30:00,0.182,0.1826,0.1796,0.18,392443.0,16411826.0,0.0001,0.615,-45.647,4.623,False,False
COMBOUSDT,2025-01-19 23:30:00,0.413,0.413,0.4082,0.4113,5153.1,755088.2,0.0001,2.748,-47.938,-0.885,False,False
COMPUSDT,2025-01-19 23:30:00,85.7,85.72,84.76,85.33,1094.39,71731.47,0.0001,1.174,-58.771,0.129,False,False
COOKIEUSDT,2025-01-19 23:30:00,0.4096,0.4098,0.405,0.407,226462.0,16052816.0,0.0001,-2.187,-87.784,-1.945,False,False
COOKUSDT,2025-01-19 23:30:00,0.02424,0.02427,0.02402,0.02416,427330.0,74126110.0,0.0001,2.721,-8.815,-0.23,False,False
COREUSDT,2025-01-19 23:30:00,0.9201,0.9201,0.9068,0.9119,55689.9,7648650.6,0.0001,1.537,-47.916,2.473,False,False
COSUSDT,2025-01-19 23:30:00,0.006747,0.006748,0.006677,0.00672,923750.0,81790880.0,0.000315,1.541,60.357,0.246,False,False
COTIUSDT,2025-01-19 23:30:00,0.11622,0.11628,0.11451,0.11555,325580.0,44646614.0,0.0001,1.86,-30.597,-0.585,False,False
COWUSDT,2025-01-19 23:30:00,0.828,0.8443,0.8142,0.8328,1390169.0,8042468.0,0.000191,13.631,-77.774,5.746,False,False
CROUSDT,2025-01-19 23:30:00,0.13732,0.13751,0.13549,0.136,1025243.0,71562229.0,0.0001,0.689,-58.55,-0.559,False,False
CRVUSDT,2025-01-19 23:30:00,0.9402,0.9408,0.9266,0.9359,540912.7,75351612.1,0.0001,4.081,-46.798,-0.231,False,False
CTCUSDT,2025-01-19 23:30:00,1.0812,1.08145,1.07325,1.0782,65763.0,5882152.0,5e-05,0.33,-59.06,2.655,True,True
CTKUSDT,2025-01-19 23:30:00,0.7929,0.7929,0.7816,0.7854,9645.3,2593795.79999999,-0.000468,0.255,-72.671,-0.078,True,True
CTSIUSDT,2025-01-19 23:30:00,0.14899,0.1491,0.14749,0.14868,52581.0,11652768.0,0.0001,2.207,58.635,0.302,False,False
CVCUSDT,2025-01-19 23:30:00,0.15917,0.15917,0.15747,0.15862,237413.0,24281131.0,0.0001,1.686,-33.598,-1.463,False,False
CVXUSDT,2025-01-19 23:30:00,4.246,4.246,4.184,4.228,6818.8,1805215.59,5e-05,3.072,-66.716,-0.919,False,False
CYBERUSDT,2025-01-19 23:30:00,3.065,3.065,3.033,3.057,7002.9,1220897.7,0.0001,2.309,-43.63,-0.854,False,False
DASHUSDT,2025-01-19 23:30:00,39.01,39.13,38.71,39.09,494.61,141800.01,0.0001,2.841,-67.707,-2.465,False,False
DATAUSDT,2025-01-19 23:30:00,0.0392,0.03927,0.03891,0.03914,194490.0,9211350.0,0.0001,2.113,-35.388,3.217,False,False
DBRUSDT,2025-01-19 23:30:00,0.03176,0.03178,0.03162,0.03172,429180.0,56016790.0,0.000389,-0.689,-37.064,-0.136,False,False
DEEPUSDT,2025-01-19 23:30:00,0.27996,0.28007,0.27403,0.2765,1465720.0,76487510.0,0.0001,-0.91,-47.08,2.539,False,False
DEGENUSDT,2025-01-19 23:30:00,0.009016,0.009019,0.008878,0.008955,8486460.0,708422990.0,0.000676,0.72,-58.096,0.053,False,False
DENTUSDT,2025-01-19 23:30:00,0.0013507,0.0013507,0.0013358,0.0013475,12470400.0,1087037900.0,0.000146,1.783,-53.578,0.717,False,False
DEXEUSDT,2025-01-19 23:30:00,17.481,17.487,17.322,17.441,2089.1,240871.3,0.0001,1.084,-76.297,-0.169,False,False
DGBUSDT,2025-01-19 23:30:00,0.011823,0.011856,0.011704,0.011832,1592830.0,158119680.0,0.0001,3.066,20.365,-0.563,False,False
DODOUSDT,2025-01-19 23:30:00,0.13528,0.13552,0.13435,0.13525,10025.0,10817706.0,0.0001,2.485,-52.105,1.83,False,False
DOGEUSDT,2025-01-19 23:30:00,0.38683,0.38695,0.38122,0.38431,32542221.0,2194985063.0,0.0001,1.597,-39.096,-1.616,False,False
DOGSUSDT,2025-01-19 23:30:00,0.0004084,0.0004084,0.000403,0.0004051,386875000.0,24734361000.0,0.000141,1.529,-33.955,0.365,False,False
DOGUSDT,2025-01-19 23:30:00,0.004605,0.004611,0.00452,0.00456,18898800.0,2198787800.0,0.000222,0.729,-73.803,-3.301,False,False
DOP1USDT,2025-01-19 23:30:00,0.001147,0.001152,0.001138,0.00115,5611000.0,898427900.0,0.0001,4.641,-37.281,0.009,False,False
DOTUSDT,2025-01-19 23:30:00,6.806,6.81,6.736,6.774,107244.1,12883242.2,0.0001,1.24,-37.208,0.051,False,False
DRIFTUSDT,2025-01-19 23:30:00,1.1614,1.1614,1.1495,1.1538,148936.0,17704011.0,5e-05,-3.075,-63.109,1.129,False,False
DUCKUSDT,2025-01-19 23:30:00,0.006555,0.006564,0.006366,0.006519,16212560.0,211346570.0,5e-05,-3.25,-17.213,1.548,False,False
DUSKUSDT,2025-01-19 23:30:00,0.19892,0.19892,0.1967,0.19817,17078.0,7165825.0,0.0001,2.207,-68.043,-0.194,False,False
DYDXUSDT,2025-01-19 23:30:00,1.284,1.284,1.268,1.277,78580.1,26204118.0,0.0001,2.488,-80.295,0.418,False,False
DYMUSDT,2025-01-19 23:30:00,1.211,1.211,1.197,1.207,33949.1,4116296.4,0.0001,1.943,-62.073,0.406,False,False
EDUUSDT,2025-01-19 23:30:00,0.5479,0.5479,0.542,0.5462,32697.5,5341723.4,0.0001,1.411,-68.798,1.21,False,False
EGLDUSDT,2025-01-19 23:30:00,34.79,34.81,34.48,34.68,1658.14,292198.13,0.000192,1.582,-51.454,-0.322,False,False
EIGENUSDT,2025-01-19 23:30:00,3.0028,3.0116,2.9579,2.9813,206328.0,5656622.0,0.0001,6.822,-77.303,3.527,False,False
ENAUSDT,2025-01-19 23:30:00,0.9112,0.9125,0.8959,0.9009,2211987.0,218358757.0,0.0001,1.418,-61.537,1.129,False,False
ENJUSDT,2025-01-19 23:30:00,0.1911,0.1912,0.1886,0.1903,208258.7,25242500.7,0.0001,1.983,27.423,0.62,False,False
ENSUSDT,2025-01-19 23:30:00,35.681,35.841,35.138,35.68,41804.5,708291.8,0.000108,6.153,-41.572,8.592,False,False
